citation,auteur,
"Ce n'est pas le titre qui honore l'homme, mais l'homme qui honore le titre.",Machiavel,
"Ce n'est pas les médecins qui nous manquent, c'est la médecine.",Montesquieu,
"Ce n'est pas notre condition, c'est la trempe de notre âme qui nous rend heureux.",Voltaire,
"Ce n'est pas par la satisfaction du désir que s'obtient la liberté, mais par la destruction du désir.",épictète,
"Ce n'est pas par les revenus de chacun, mais par son train de vie qu'il faut évaluer sa fortune.",Cicéron,
Ce n'est pas par leur architecture mais plutôt par la puissance de leur pensée abstraite que les nations devraient essayer de se perpétuer dans la mémoire des hommes.,Henry David Thoreau,
"Ce n'est pas parce qu'on craint de la commettre, mais c'est parce qu'on craint de la subir que l'on blâme l'injustice.",Platon,
Ce n'est pas parce qu'on prêche dans les églises que les paratonnerres y sont inutiles.,Georg Christoph Lichtenberg,
"Ce n'est pas parce que les choses sont difficiles que nous n'osons pas les faire, c'est parce que nous n'osons pas les faire qu'elles sont difficiles.",Sénèque,
"Ce n'est pas parce que les choses sont difficiles que nous n'osons pas, c'est parce que nous n'osons pas qu'elles sont difficiles.",Sénèque,
"Ce n'est pas que le suicide soit toujours de la folie. Mais en général, ce n'est pas dans un accès de raison que l'on se tue.",Voltaire,
"Ce n'est pas seulement le nombre des atomes, c'est celui des mondes qui est infini dans l'univers.",épicure,
"Ce n'est pas seulement notre ignorance, c'est notre connaissance qui nous aveugle.",Edgar Morin,
"Ce n'est pas seulement pour duper nos enfants que nous les entretenons dans la croyance au Père Noël: leur ferveur nous réchauffe, nous aide à nous tromper nous-mêmes.",Claude Lévi-strauss,
Ce n'est pas tant l'aide de nos amis qui nous aide que notre confiance dans cette aide.,épicure,
Ce n'est pas tant l'intervention de nos amis qui nous aide mais le fait de savoir que nous pourrons toujours compter sur eux.,épicure,
Ce n'est pas tout de mourir ; il faut mourir à temps.,Jean-Paul Sartre,
Ce n'est pas un ami que l'ami de tout le monde.,Aristote,
"Ce n'est pas un malheur d'être méconnu des hommes, mais c'est un malheur de les méconnaître.",Confucius,
Ce n'est plus souvent que la perte des choses qui en enseigne la valeur.,Arthur Schopenhauer,
"Ce n'est point ce que l'on a appris qui est utile, mais ce que l'on a retenu.",Nicolas De Condorcet,
Ce n'est qu'en se dépassant que l'homme est pleinement humain.,Jean-Paul II,
Ce ne sont pas des ailes qu'il faut à l'esprit humain mais plutôt du plomb et du poids.,Francis Bacon (philosophe),
"Ce ne sont pas du tout les méchants qui font le plus de mal en ce monde. Ce sont les maladroits, les négligents, les crédules. Les méchants seraient impuissants sans une quantité de bons.",Paul Valéry,
Ce ne sont pas les événements qui perturbent l'homme mais sa façon de les interpréter.,épictète,
"Ce ne sont pas les histoires, qui font la littérature, c'est le style.",Jean D'Ormesson,
"Ce ne sont pas les plaisirs qui sont malfaisants, mais seulement la rareté des plaisirs, d'où naît l'excès.",Charles Fourier,
"Ce ne sont pas nos défauts qui sont ridicules, mais le soin que nous prenons à les dissimuler et à feindre d'en être épargnés.",Giacomo Leopardi,
"Ce qu'il y a d'essentiel et d'inappréciable dans toute la morale, c'est qu'elle est une contrainte prolongée.",Friedrich Nietzsche,
"Ce qu'il y a de mieux dans ce monde, de plus beau, de plus excitant, ce sont les commencements. L'enfance et les matins ont la splendeur des choses neuves. L'existence est souvent terne. Naître est toujours un bonheur.",Jean D'Ormesson,
"Ce qu'il y a de pis, c'est que la guerre est un fléau inévitable.",Voltaire,
"Ce qu'il y a de plus profitable dans notre vie, généralement, personne ne nous l'a appris.",Georg Christoph Lichtenberg,
Ce qu'il y a de plus profond dans l'homme c'est la peau.,Paul Valéry,
"Ce qu'il y a de plus singulier dans la vie de l'homme, ce n'est pas sa soumission mais son opposition aux instincts. Il aspire à une vie surnaturelle.",Henry David Thoreau,
"Ce qu'il y a de tragique dans bien des philosophies, c'est qu'on n'admet pas de finir.",François Hertel,
"Ce qu'il y a devant nous et ce que nous laissons derrière, ceci est peu de chose comparativement à ce qui est en nous. Et lorsque nous amenons dans le monde ce qui dormait en nous, des miracles se produisent.",Henry David Thoreau,
Ce qu'on appelle résignation n'est autre que du désespoir confirmé.,Henry David Thoreau,
Ce qu'on dit dans les rêves pourrait être utilisé afin de contribuer un peu à l'évolution du roman.,Georg Christoph Lichtenberg,
Ce qu'on dit de soi est toujours poésie.,Ernest Renan,
Ce qu'on est peu de choses quand on n'est qu'un homme. Les orgueilleux sont surtout des sots.,François Hertel,
Ce qu'on fait n'est jamais compris mais seulement loué ou blâmé.,Friedrich Nietzsche,
Ce qu'on fait par amour l'est toujours par-delà le bien et le mal.,Friedrich Nietzsche,
"Ce qu'on fait pour les autres, sans les autres, est contre les autres.",Edgar Morin,
Ce qu'on n'a jamais mis en question n'a point été prouvé.,Denis Diderot,
Ce qu'on nomme communément envie est un vice qui consiste en une perversité de nature qui fait que certaines gens se fâchent du bien qu'ils voient arriver aux autres hommes.,René Descartes,
"Ce qu'on nomme culture consiste, pour une partie des intellectuels, à persécuter l'autre partie.",Jean-François Revel,
Ce qu'on nomme idée est l'objet de la pensée.,John Locke,
Ce qu'on peut expliquer de plusieurs manières ne mérite d'être expliqué d'aucune.,Voltaire,
"Ce qu'on peut reprocher à la philosophie, c'est qu'elle ne sert à rien.",Paul Valéry,
"Ce qu'on retranche à la perfection des créatures, c'est à la perfection même de Dieu qu'on le retranche.",Thomas D'Aquin,
"Ce qu'on sait, savoir qu'on le sait ; ce qu'on ne sait pas, savoir qu'on ne le sait pas : c'est savoir véritablement.",Confucius,
"Ce qu'un homme pense de lui-même, voilà ce qui règle ou plutôt indique son destin.",Henry David Thoreau,
"Ce qu&#039;un homme pense de lui-même, voilà ce qui règle ou plutôt indique son destin. ",Henry David Thoreau,
"Ce que chacun recherche et aime avant tout, non seulement dans la simple conversation, mais encore à fortiori dans le service public, c'est l'infériorité de l'autre.",Arthur Schopenhauer,
"Ce que j'appelle ""mon présent empiète tout à la fois sur mon passé et sur mon avenir.",,
"Ce que j'appelle ""mon présent empiète tout à la fois sur mon passé et sur mon avenir.",,
"Ce que je préférerais, c'est d'aimer la terre comme l'aime la lune et de n'effleurer sa beauté que des yeux.",Friedrich Nietzsche,
"Ce que je sais à soixante, je le savais aussi bien à vingt. Quarante ans d'un long, d'un superflu travail de vérification...",Emil Cioran,
"Ce que je vous demande, c'est d'ouvrir votre esprit, non de croire.",Jiddu Krishnamurti,
"Ce que l'homme cherche dans la religion, c'est de sauver sa propre individualité, de l'éterniser, ce qu'on n'obtient ni avec la science, ni avec l'art, ni avec la morale.",Miguel De Unamuno,
"Ce que l'homme redoute le plus, c'est ce qui lui convient.",Henri-Frédéric Amiel,
Ce que l'on doit faire on le sait bien mieux que les philosophes.,épictète,
"Ce que l'on voit est temporel, ce que l'on ne voit pas est éternel.",Ralph Waldo Emerson,
Ce que le vulgaire appelle du temps perdu est bien souvent du temps gagné.,Alexis De Tocqueville,
Ce que les cours de nos écoles négligent presque totalement est ce qui intéresse le plus : la question de la vie.,Herbert Spencer,
"Ce que les Français détestent, ce ne sont pas les inégalités, ce sont les inégalités autres que celles qui sont octroyées par l'Etat.",Jean-François Revel,
"Ce que les hommes veulent en fait, ce n'est pas la connaissance, c'est la certitude.",Bertrand Russell,
"Ce que les orateurs manquent de profondeur, ils le compensent en longueur.",Montesquieu,
"Ce que nous appelons ""une oeuvre d'art"" est le résultat d'une action dont le but fini est de provoquer chez quelqu'un des développements infinis.",Paul Valéry,
Ce que nous appelons le hasard n'est et ne peut être que la cause ignorée d'un effet connu.,Voltaire,
"Ce que nous faisons dans notre intérêt ne doit nous rapporter aucun compliment d'ordre moral, ni de la part des autres, ni de la nôtre.",Friedrich Nietzsche,
"Ce que nous ne pouvons penser, nous ne saurions le penser, donc nous ne pouvons dire que ce que nous saurions penser.",Ludwig Wittgenstein,
"Ce que peut la vertu d'un homme ne se doit pas mesurer par ses efforts, mais par son ordinaire.",Blaise Pascal,
"Ce que peut signifier le ""devoir de parler non pas avoir quelque chose à dire mais avoir à dire quelque chose.",,
"Ce que peut signifier le ""devoir de parler non pas avoir quelque chose à dire mais avoir à dire quelque chose.",,
"Ce que raconte l'histoire n'est en fait que le long rêve, le songe lourd et confus de l'humanité.",Arthur Schopenhauer,
"Ce que tu as la force d'être, tu as aussi le droit de l'être.",Max Stirner,
"Ce que voulait la populace, c'était d'accéder à l'histoire, même au prix de l'auto-destruction.",Hannah Arendt,
"Ce qui a été cru partout, par tous et pour toujours, a toutes les chances d'être faux.",Paul Valéry,
"Ce qui a toujours fait de l'Etat un enfer sur la terre, c'est que l'homme a voulu en faire son ciel.",Friedrich Hölderlin,
"Ce qui attend les hommes après la mort, ce n'est ni ce qu'ils espèrent ni ce qu'ils croient.",Héraclite D'Éphèse,
Ce qui caractérise la communication c'est d'être unilatérale.,Paul Ricoeur,
"Ce qui caractérise le mieux la vraie liberté est son juste usage, et l'abus qu'on en fait.",Georg Christoph Lichtenberg,
"Ce qui caractérise le philosophe et le distingue du vulgaire, c'est qu'il n'admet rien sans preuve, qu'il n'acquiesce point à des notions trompeuses et qu'il pose exactement les limites du certain, du probable et du douteux.",Denis Diderot,
"Ce qui constitue une nation, ce n'est pas de parler la même langue, ou d'appartenir à un groupe ethnographique commun, c'est d'avoir fait ensemble de grandes choses dans le passé et de vouloir en faire encore dans l'avenir.",Ernest Renan,
"Ce qui découle du pessimisme, c'est la doctrine de l'absurdité de l'existence.",Friedrich Nietzsche,
"Ce qui détruit les illusions, les siennes et celles des autres, la nature le punit avec toute la rigueur d'un tyran.",Friedrich Nietzsche,
"Ce qui distingue d'emblée le pire architecte de l'abeille la plus experte, c'est qu'il a construit la cellule dans sa tête avant de la construire dans la ruche.",Karl Marx,
"Ce qui distingue principalement l'ère nouvelle de l'ère ancienne, c'est que le fouet commence à se croire génial.",Karl Marx,
"Ce qui doit être obtenu par le mérite, on cherche à l'avoir à prix d'argent.",Cicéron,
"Ce qui éclaire l'existence, c'est l'espérance.",Jean D'Ormesson,
"Ce qui empêche l'homme d'accéder au bonheur ne relève pas de sa nature, mais des artifices de la civilisation.",Claude Lévi-strauss,
Ce qui est aujourd'hui un paradoxe pour nous sera pour la postérité une vérité démontrée.,Denis Diderot,
Ce qui est bien dit se dit en peu.,Baltasar Gracian,
Ce qui est bref et bon est deux fois bon.,Baltasar Gracian,
"Ce qui est certain, c'est que la peur est mauvaise conseillère. Ne cédons pas à la peur.",Elisabeth Badinter,
"Ce qui est chouette dans le fait de ne pas avoir d'argent, c'est qu'on peut imaginer comme tout serait parfait si on en avait.",Alain De Botton,
"Ce qui est désordre, violence, attentat au droit d'autrui, doit être réprimé sans pitié.",Ernest Renan,
"Ce qui est fâcheux dans les malheurs publics, c'est que n'importe qui s'estime assez compétent pour en parler.",Emil Cioran,
Ce qui est le meilleur dans le nouveau est ce qui répond à un désir ancien.,Paul Valéry,
Ce qui est le plus négligé dans nos écoles est justement ce dont nous avons le plus besoin dans la vie.,Herbert Spencer,
Ce qui est le plus pénible est l'absence totale de solitude.,Claude Lévi-strauss,
"Ce qui est le plus vrai d'un individu, et le plus lui-même, c'est son possible - que son histoire ne dégage qu'incertainement.",Paul Valéry,
"Ce qui est mystique ce n'est pas comment est le monde, mais le fait qu'il est.",Ludwig Wittgenstein,
Ce qui est nouveau est rarement vrai ; ce qui est vrai est rarement nouveau.,Georg Christoph Lichtenberg,
"Ce qui est ordinairement le plus envié, c'est la gloire.",René Descartes,
Ce qui est simple est toujours faux. Ce qui ne l'est pas est inutilisable.,Paul Valéry,
"Ce qui est terrible dans la mort, ce n'est pas d'en être vaincu, mais de lutter.",Paul Valéry,
"Ce qui est terrible, ce n'est pas de souffrir ni de mourir, mais de mourir en vain.",Jean-Paul Sartre,
Ce qui est vérité pour l'un peut-être erreur pour l'autre.,Gandhi,
"Ce qui fait de nous des laïques n'est pas la séparation du temporel et du spirituel, c'est la séparation du spirituel et du religieux.",Alain Finkielkraut,
"Ce qui fait l'homme, c'est sa grande faculté d'adaptation.",Socrate,
"Ce qui fait la noblesse d'une chose, c'est son éternité.",Léonard De Vinci,
"Ce qui fait le prix de la science, de la connaissance abstraite, c'est qu'elle est communicable.",Arthur Schopenhauer,
"Ce qui fait qu'on va si loin dans l'amour, c'est que l'on ne songe pas que l'on aura besoin d'autre chose que ce que l'on aime.",Blaise Pascal,
"Ce qui instruit les sots, ce n'est pas la parole, c'est le malheur.",Démocrite D'Abdère,
"Ce qui m'a dégoûté de la profession d'avocat, c'est la profusion de choses inutiles dont on voulut charger ma cervelle. Au fait ! est ma devise.",Voltaire,
"Ce qui m'a toujours beaucoup nui, c'est que j'ai toujours trop méprisé ceux que je n'estimais pas.",Montesquieu,
Ce qui m'étonne le plus est de voir que tout le monde n'est pas étonné de sa faiblesse.,Blaise Pascal,
"Ce qui m'importe, c'est l'éternelle vivacité et non pas la vie éternelle.",Friedrich Nietzsche,
Ce qui m'intéresse n'est pas toujours ce qui m'importe.,Paul Valéry,
"Ce qui manque aux orateurs en profondeur, ils vous le donnent en longueur.",Montesquieu,
"Ce qui me bouleverse, ce n'est pas que tu m'aies menti, c'est que désormais, je ne pourrai plus te croire.",Friedrich Nietzsche,
"Ce qui n'est pas déchirant est superflu, en musique tout au moins.",Emil Cioran,
Ce qui n'est pas fixé n'est rien. Ce qui est fixé est mort.,Paul Valéry,
"Ce qui n'est plus supportable, c'est cette bonne conscience béate qui, chaque fois, nous assure qu'il y a maldonne, que l'horreur n'a pas de place chez nous. [...] Nous nous refusons à reconnaître l'évidence : et, pour commencer, la place [...] ► Lire la suite",Bernard-Henri Lévy,
"Ce qui n'est point utile à l'essaim, n'est point utile à l'abeille.",Montesquieu,
Ce qui ne me détruit pas me rend plus fort.,Friedrich Nietzsche,
Ce qui ne remplit pas le coeur remplit la bouche. J'ai plus souvent éprouvé cette vérité que son contraire.,Georg Christoph Lichtenberg,
Ce qui ne ressemble à rien n'existe pas.,Paul Valéry,
"Ce qui nous distingue de nos prédécesseurs, c'est notre sans-gêne à l'égard du mystère. Nous l'avons même débaptisé ; ainsi est né l'absurde.",Emil Cioran,
"Ce qui nous pousse à nous rendre utiles et à oeuvrer pour de bonnes causes, réside avant tout dans l'estime que nous nous prodiguons.",Giacomo Leopardi,
"Ce qui nous trompe, c'est la prodigieuse variété de nos actions, jointe à l'habitude que nous avons prise en naissant de confondre le volontaire avec le libre.",Denis Diderot,
Ce qui nuit à l'un sert à l'autre.,Érasme,
Ce qui passe de mode entre dans les moeurs. Ce qui disparaît des moeurs ressuscite dans la mode.,Jean Baudrillard,
Ce qui peut être commun est toujours de peu de valeur.,Friedrich Nietzsche,
Ce qui peut être montré ne peut pas être dit.,Ludwig Wittgenstein,
"Ce qui peut-être dit, peut être dit clairement ; et ce dont on ne peut parler, il faut le passer sous silence.",Ludwig Wittgenstein,
"Ce qui pourrait nous contraindre au bien, pourrait aussi nous contraindre au mal.",Denis Diderot,
"Ce qui rend fou, ce n'est pas le doute, c'est la certitude.",Friedrich Nietzsche,
"Ce qui rend les hommes sociables est leur incapacité à supporter la solitude et donc, eux-mêmes.",Arthur Schopenhauer,
Ce qui se dit la nuit ne voit jamais le jour.,Friedrich Nietzsche,
Ce qui se paie n'a guère de valeur ; voilà la croyance que je cracherai au visage des esprits mercantiles.,Friedrich Nietzsche,
"Ce qui séduisait l'élite, c'était l'extrémisme en tant que tel.",Hannah Arendt,
"Ce qui trouble les hommes, ce ne sont pas les choses, ce sont les jugements qu'ils portent sur les choses.",épictète,
"Ce qui trouble les hommes, ce ne sont pas les choses, mais les jugements qu'ils portent sur ces choses.",épictète,
"Ce qui, en ce monde, devrait être shakespearien, Shakespeare l'a déjà en grande partie accompli.",Georg Christoph Lichtenberg,
"Ce qui, en fin de compte, détermine les opinions, ce sont les sentiments, non les facultés intellectuelles.",Herbert Spencer,
Ce serait le comble de la folie de prétendre amener tous les hommes à penser d'une manière uniforme.,Voltaire,
Ce serait terriblement triste s'il ne sort pas de cette mega-crise (Coronavirus) une pensée politique indiquant la nouvelle Voie.,Edgar Morin,
Ce serait un moindre mal de mourir si l'on pouvait tenir pour assuré qu'on a du moins vécu.,Clément Rosset,
"Ce sont de mauvais découvreurs, ceux qui pensent qu'il n'existe pas de terre quand ils ne peuvent voir rien d'autre que la mer.",Francis Bacon (philosophe),
Ce sont les grandes occasions qui font les grands hommes.,Jean-Jacques Rousseau,
Ce sont les hommes les plus sensuels qui doivent fuir devant les femmes et torturer leur corps.,Friedrich Nietzsche,
"Ce sont les hommes qui écrivent l'histoire, mais ils ne savent pas l'histoire qu'ils écrivent.",Raymond Aron,
Ce sont les idées qui mènent le monde.,Ernest Renan,
Ce sont les instincts les plus élevés qui poussent l'individu en dehors et bien au-dessus de la moyenne.,Friedrich Nietzsche,
Ce sont les martyrs qui font la foi plutôt que la foi ne fait les martyrs.,Miguel De Unamuno,
Ce sont les oiseaux les plus mal bigarrés qui chantent le plus mal.,Georg Christoph Lichtenberg,
Ce sont les paroles les moins tapageuses qui suscitent la tempête et les pensées qui mènent le monde viennent sur des pattes de colombe.,Friedrich Nietzsche,
Ce sont les petites précautions qui conservent les grandes vertus.,Jean-Jacques Rousseau,
Ce sont les questions qui font le philosophe.,Paul Valéry,
"Ce sont nos passions qui nous rendent faibles, parce qu'il faudrait pour les contenter plus de forces que ne nous en donna la nature.",Jean-Jacques Rousseau,
Ce sont presque toujours de bons sentiments mal dirigés qui font faire aux enfants le premier pas vers le mal.,Jean-Jacques Rousseau,
Ce tribunal que l'homme sent en lui est la conscience.,Emmanuel Kant,
Celui à qui la souffrance est épargnée doit se sentir appelé à soulager celle des autres.,Albert Schweitzer,
"Celui qu'entoure la flamme de la jalousie, celui-là en fin de compte, pareil au scorpion, tourne contre lui-même son dard empoisonné.",Friedrich Nietzsche,
"Celui qui a besoin d'un protocole n'ira jamais loin ; les génies lisent peu, pratiquent beaucoup et se font d'eux-mêmes.",Denis Diderot,
Celui qui a inventé le bateau a aussi inventé le naufrage.,Lao Tseu,
"Celui qui a l'habitude du mensonge, a aussi celle du parjure.",Cicéron,
Celui qui a rendu un service doit se taire : c'est à celui qui l'a reçu de parler.,Sénèque,
Celui qui a vécu jusqu'au bout l'orgueil de la solitude n'a plus qu'un rival : Dieu.,Emil Cioran,
Celui qui aime à apprendre est bien près du savoir.,Confucius,
Celui qui aime à être loué par des paroles trompeuses en est généralement puni par sa honte et ses regrets.,Phèdre,
Celui qui aime la gloire met son propre bonheur dans les émotions d'un autre. Celui qui aime le plaisir met son bonheur dans ses propres penchants. Mais l'homme intelligent le place dans sa propre conduite.,Marc Aurèle,
Celui qui aime va à la chose aimée comme les sens vont à la chose sensible.,Léonard De Vinci,
Celui qui attend de l'expérience ce qu'elle ne peut donner s'éloigne de la raison.,Léonard De Vinci,
Celui qui connaît l'art de vivre avec soi-même ignore l'ennui.,Érasme,
Celui qui convoite le bien d'autrui mérite bien de perdre le sien.,Phèdre,
Celui qui court deux lièvres à la fois n'en prend aucun.,Érasme,
"Celui qui déplace la montagne, c'est celui qui commence à enlever les petites pierres.",Confucius,
"Celui qui dirige les autres est peut-être puissant, mais celui qui s'est maîtrisé lui-même a encore plus de pouvoir.",Lao Tseu,
"Celui qui disperse ses regards sur tout ne voit rien, ou voit mal.",Denis Diderot,
Celui qui distingue la vraie saveur de ce qu'il mange ne sera jamais un glouton ; celui qui ne le fait pas ne peut pas être autre chose.,Henry David Thoreau,
"Celui qui dit : ""J'agirai ainsi dans la mesure du possible"" révèle ou bien son orgueil, ou bien sa faiblesse.",Gandhi,
Celui qui dit ce qu'il sait dit aussi ce qu'il ignore.,Francis Bacon (philosophe),
"Celui qui donne un bon conseil, construit d'une main, celui conseille et donne l'exemple, à deux mains ; mais celui qui donne de bonnes leçons et un mauvais exemple construit d'une main et détruit de l'autre.",Francis Bacon (philosophe),
"Celui qui en sait beaucoup sur les autres est peut-être instruit, mais celui qui se comprend lui-même est plus intelligent.",Lao Tseu,
Celui qui est amoureux de soi a au moins l'avantage de ne point avoir trop de rivaux.,Georg Christoph Lichtenberg,
Celui qui est cause qu'un autre devient puissant se ruine lui-même.,Machiavel,
Celui qui est cruel envers les animaux devient dur aussi dans ses relations avec les hommes. On peut juger le coeur d'un homme par son traitement des animaux.,Emmanuel Kant,
Celui qui est parvenu au coeur même de sa religion est aussi parvenu au cÏur des autres religions.,Gandhi,
"Celui qui est passionnément amoureux devient inévitablement aveugle aux défauts de l'objet aimé, bien qu'en général il recouvre la vue huit jours après le mariage.",Emmanuel Kant,
Celui qui est sévère envers lui-même et indulgent envers les autres évite les mécontentements.,Confucius,
Celui qui excelle à employer les hommes se met au-dessous d'eux.,Lao Tseu,
"Celui qui excelle ne discute pas, il maîtrise sa science et se tait.",Lao Tseu,
Celui qui exécute de bonne grâce les ordres échappe au côté pénible de la soumission : faire ce qui nous rebute.,Sénèque,
"Celui qui exige beaucoup de lui-même et peu des autres, s'empêchera d'être l'objet de ressentiment.",Confucius,
Celui qui fait exécuter les lois doit y être soumis.,Montesquieu,
"Celui qui loue fait semblant de rendre, mais, en vérité, il veut qu'on lui donne !",Friedrich Nietzsche,
Celui qui lutte contre les monstres doit veiller à ne pas le devenir lui-même.,Friedrich Nietzsche,
Celui qui n'a pas peur n'est pas normal ; ça n'a rien à voir avec le courage.,Jean-Paul Sartre,
"Celui qui n'a rien désire peu de choses ; celui qui ne commande à personne a peu d'ambition. Mais le superflu éveille la convoitise : plus on obtient, plus on désire.",Jean-Jacques Rousseau,
Celui qui n'aime pas la vie ne la mérite pas.,Léonard De Vinci,
Celui qui n'appliquera pas de nouveaux remèdes doit s'attendre à de nouveaux maux ; car le temps est le plus grand des innovateurs.,Francis Bacon (philosophe),
Celui qui n'empêche pas un crime alors qu'il le pourrait s'en rend complice.,Sénèque,
Celui qui n'est plus ton ami ne l'a jamais été.,Aristote,
Celui qui ne connaît pas l'histoire est condamné à la revivre.,Karl Marx,
Celui qui ne craint pas de promettre de grandes choses a de la peine à les exécuter.,Confucius,
"Celui qui ne dispose pas des deux tiers de sa journée pour lui-même est un esclave, qu'il soit d'ailleurs ce qu'il veut : politique, marchand, fonctionnaire, érudit.",Friedrich Nietzsche,
Celui qui ne peut pas décrire le problème ne trouvera jamais la solution.,Confucius,
"Celui qui ne peut pas vivre en société, ou qui n'a besoin de rien parce qu'il se suffit à lui-même, ne fait point partie de l'Etat ; c'est une brute ou un dieu.",Aristote,
"Celui qui ne progresse pas chaque jour, recule chaque jour.",Confucius,
Celui qui ne sait pas se contenter de peu ne sera jamais content de rien.,épicure,
"Celui qui ne sait pas se taire, il ne sait pas non plus parler.",Sénèque,
Celui qui ne veut agir et parler avec justesse finit par ne rien faire du tout. ,Friedrich Nietzsche,
Celui qui ne veut agir et parler qu'avec justesse finit par ne rien faire du tout.,Friedrich Nietzsche,
Celui qui nie sa propre vanité la possède généralement sous une forme si brutale qu'il ferme instinctivement les yeux devant elle pour ne pas avoir à se mépriser.,Friedrich Nietzsche,
Celui qui obéit est presque toujours meilleur que celui qui commande.,Ernest Renan,
Celui qui parle beaucoup est souvent réduit au silence.,Lao Tseu,
"Celui qui peint une cible sur la fenêtre de son jardin, il peut être certain qu'on tirera dedans.",Georg Christoph Lichtenberg,
"Celui qui pense que, chez les grands personnages, les nouveaux bénéfices font oublier les vieilles injures, il s'abuse.",Machiavel,
Celui qui plante la vertu ne doit pas oublier de l'arroser souvent.,Confucius,
Celui qui porte aide aux méchants finit par le regretter.,Phèdre,
"Celui qui possède assez de chaleur intérieure propre préfère rester en dehors de la société pour ne pas éprouver de désagréments, ni en causer.",Arthur Schopenhauer,
Celui qui possède femme et enfants a donné des otages à la fortune ; car ce sont des obstacles aux grandes entreprises.,Francis Bacon (philosophe),
"Celui qui progresse ne blâme personne, ne loue personne, ne critique personne, n'incrimine personne. Il ne dit rien, ni de son importance, ni de son savoir.",épictète,
Celui qui regarde la vie comme autre chose qu'une illusion qui se détruit elle-même est encore prisonnier de la vie.,Novalis,
"Celui qui rend violence pour violence ne viole que la loi, et non l'homme.",Francis Bacon (philosophe),
Celui qui s'applique à la vengeance garde fraîches ses blessures.,Francis Bacon (philosophe),
Celui qui s'oriente sur l'étoile ne se retourne pas.,Léonard De Vinci,
Celui qui sait commander trouve toujours ceux qui doivent obéir.,Friedrich Nietzsche,
Celui qui sait ne doute pas; celui qui est bon n'est pas inquiet; celui qui est brave n'a pas peur.,Confucius,
Celui qui sait obéir saura ensuite commander.,Confucius,
"Celui qui sait qu'assez c'est assez, en aura toujours suffisamment.",Lao Tseu,
Celui qui sait se contenter sera toujours content.,Lao Tseu,
Celui qui sait se satisfaire aura toujours le nécessaire.,Lao Tseu,
Celui qui sait une chose ne vaut pas celui qui l'aime. Celui qui aime une chose ne vaut pas celui qui en fait sa joie.,Confucius,
Celui qui sans autorité tue un criminel se rend criminel lui-même.,Blaise Pascal,
"Celui qui se cachait bien, vivait bien.",René Descartes,
Celui qui se conduit vraiment en chef ne prend pas part à l'action.,Lao Tseu,
Celui qui se conquiert est le plus puissant guerrier.,Confucius,
Celui qui se perd dans sa passion perd moins que celui qui perd sa passion.,Saint Augustin D'Hippone,
"Celui qui se réclame de l'autorité ne met pas en oeuvre l'intelligence, mais plutôt la mémoire.",Léonard De Vinci,
Celui qui se sait profond s'efforce d'être clair ; celui qui voudrait sembler profond à la foule s'efforce d'être obscur.,Friedrich Nietzsche,
Celui qui se sera étudié lui-même sera bien avancé dans la connaissance des autres.,Denis Diderot,
"Celui qui se vante de ses gloires, en perd tout le mérite. Celui qui se célèbre ne sera pas reconnu.",Lao Tseu,
Celui qui sera le maître de soi-même le sera bientôt des autres.,Baltasar Gracian,
"Celui qui soutient sa folie par le meurtre, est un fanatique.",Voltaire,
Celui qui t'entretient des défauts d'autrui entretient les autres des tiens.,Denis Diderot,
Celui qui trouve sans chercher est celui qui a longtemps cherché sans trouver.,Gaston Bachelard,
Celui qui veut dispenser la lumière doit connaître les ténèbres qu'il est amené à éclairer.,Lao Tseu,
Celui qui veut être un homme doit être un anticonformiste.,Ralph Waldo Emerson,
"Celui qui veut nager dans l'océan de vérité, doit se réduire à zéro.",Gandhi,
"Celui qui veut sacrifier sa vie pour autrui, n'a guère le temps de s'assurer une place au soleil.",Gandhi,
"Celui qui veut servir, ne gaspillera pas une seule pensée pour son confort personnel.",Gandhi,
Celui qui vit au milieu de biens impérissables ne ressemble en rien à un être mortel.,épicure,
Celui-là m'enrichit qui me fait voir tout autrement ce que je vois tous les jours.,Paul Valéry,
Cent fous mis en un tas ne font pas encore un homme raisonnable. ,Arthur Schopenhauer,
"Certaines femmes ne rêvent que de gagner un homme. D'autres, plus rares, ne rêvent que de les perdre.",Jean Baudrillard,
Certaines grossièretés sont l'ultime refuge de la pudeur.,Edgar Morin,
"Certaines ont défini l'homme comme ""un animal qui rit"". Ils pourraient aussi le définir justement comme un animal dont on rit.",Henri Bergson,
"Certains livres sont faits pour être goûtés, d'autres pour êtres avalés, et un petit nombre sont faits pour être mâchés et digérés.",Francis Bacon (philosophe),
Certains ne parviennent pas à devenir des penseurs parce que leur mémoire est trop bonne.,Friedrich Nietzsche,
"Certains ont des malheurs ; d'autres, des obsessions. Lesquels sont le plus à plaindre ?",Emil Cioran,
Certains se font de la poésie une idée si vague qu'ils prennent ce vague pour l'idée même de la poésie.,Paul Valéry,
Certains signes précèdent certains événements.,Cicéron,
"Ces enfants dont je n'ai pas voulu, s'ils savaient le bonheur qu'ils me doivent !",Emil Cioran,
"Ces paroles ignobles de la Marseillaise où on parle du sang impur des ennemis, qui est un mot d'un racisme tel qu'on devrait avoir honte de l'enseigner aux enfants. Quels que soient les ennemis, qu'ils aient un sang impur, c'est [...] ► Lire la suite",Michel Serres,
